Name|||Region|||Address|||LegalRepresentative|||Scale|||BusinessContactLevel|||Email|||Phone|||User
Wangke5|||Tokyo|||国际商务中心500广场|||郑十|||大|||低|||support@wangke.com|||+86 13800138001|||Michael Jordan
Lenovo6|||莫斯科|||经济开发区400路|||吴九|||中|||低|||contact@lenovo.com|||13900139000, +86 13800138001|||李小花
Ali4|||首尔|||人民大道100号|||张三|||中|||中|||info@ali.com|||+86 13900139001, 13900139000|||王小明
Ali5|||Tokyo|||国际商务中心500广场|||李四|||小|||低|||info@ali.com|||13800138000|||王小明
Mi5|||悉尼|||国际商务中心500广场|||张三|||大|||低|||info@mi.com|||+86 13800138001, 13900139000|||Michael Jordan
Baidu3|||北京|||经济开发区400路|||李四|||中|||高|||support@baidu.com|||13800138000, 13900139000, +86 13800138001|||Bruce Lee
Wangke6|||悉尼|||国际商务中心500广场|||吴九|||大|||中|||info@wangke.com|||13900139000, +86 13900139001, +86 13800138001|||Michael Jord
Haier5|||莫斯科|||人民大道100号|||王五|||小|||低|||info@haier.com|||+86 13900139001, 13800138000|||李小花
Tencent4|||悉尼|||人民大道100号|||张三|||大|||中|||info@tencent.com|||+86 13800138001, +86 13900139001|||Michael Jordan
Tencent5|||NewYork|||人民大道100号|||John Doe|||大|||中|||info@tencent.com|||13800138000, 13900139000|||赵天宇
Wangke7|||新加坡|||经济开发区400路|||郑十|||中|||高|||contact@wangke.com|||+86 13900139001, 13900139000, +86 13800138001|||Bruce Lee
Mi6|||首尔|||国际商务中心500广场|||John Doe|||小|||高|||info@mi.com|||+86 13900139001, +86 13800138001|||Bruce Lee
Mi7|||Shanghai|||高科技园300街|||李四|||小|||低|||info@mi.com|||13900139000|||李小花
Greenland3|||首尔|||高科技园300街|||孙七|||小|||中|||support@greenland.com|||13900139000, +86 13900139001, +86 13800138001|||王小明
Tencent6|||新加坡|||人民大道100号|||John Doe|||中|||中|||info@tencent.com|||+86 13800138001|||赵天宇
Haier6|||新加坡|||长安街200号|||张三|||小|||中|||info@haier.com|||+86 13900139001, 13900139000|||赵天宇
Greenland4|||北京|||国际商务中心500广场|||郑十|||中|||低|||info@greenland.com|||+86 13900139001, 13900139000, 13800138000|||Bruce Lee
Haier7|||NewYork|||高科技园300街|||王五|||中|||低|||support@haier.com|||+86 13900139001, 13800138000|||李小花
Wangke8|||NewYork|||经济开发区400路|||王五|||大|||高|||support@wangke.com|||+86 13800138001|||Bruce Lee
Huarunzhidi5|||伦敦|||人民大道100号|||Jane Smith|||大|||高|||info@huarunzhidi.com|||13900139000, +86 13800138001, +86 13900139001|||张小强
Mi8|||新加坡|||高科技园300街|||赵六|||大|||高|||info@mi.com|||13900139000, 13800138000, +86 13800138001|||赵天宇
Mi9|||伦敦|||国际商务中心500广场|||张三|||中|||高|||support@mi.com|||+86 13800138001, 13900139000|||张小强
Kyoto8|||首尔|||长安街200号|||孙七|||小|||中|||support@kyoto.com|||13800138000, 13900139000|||Michael Jordan
Wangke9|||北京|||高科技园300街|||孙七|||小|||中|||support@wangke.com|||+86 13800138001|||赵天宇
Kyoto9|||首尔|||高科技园300街|||周八|||大|||高|||contact@kyoto.com|||+86 13900139001|||王小明
Wangke10|||莫斯科|||人民大道100号|||周八|||小|||高|||support@wangke.com|||+86 13800138001, +86 13900139001, 13900139000|||Michael Jorda
Mi10|||北京|||长安街200号|||周八|||大|||高|||contact@mi.com|||13800138000, +86 13900139001|||Bruce Lee
Baidu4|||莫斯科|||人民大道100号|||周八|||大|||高|||contact@baidu.com|||13900139000, +86 13900139001, 13800138000|||张小强
Kyoto10|||莫斯科|||国际商务中心500广场|||孙七|||大|||高|||contact@kyoto.com|||13900139000|||赵天宇
Huarunzhidi6|||首尔|||长安街200号|||吴九|||小|||高|||contact@huarunzhidi.com|||13900139000, 13800138000, +86 13900139001|||Michael Jordan
Huarunzhidi7|||NewYork|||国际商务中心500广场|||吴九|||小|||高|||contact@huarunzhidi.com|||13800138000, 13900139000|||Bruce Lee
Greenland5|||NewYork|||高科技园300街|||张三|||中|||高|||support@greenland.com|||+86 13900139001|||Michael Jordan
Kyoto11|||首尔|||国际商务中心500广场|||张三|||小|||低|||support@kyoto.com|||13900139000, +86 13800138001|||张小强
Lenovo7|||Shanghai|||经济开发区400路|||John Doe|||大|||低|||info@lenovo.com|||+86 13900139001, +86 13800138001, 13800138000|||张小强
Mi11|||莫斯科|||高科技园300街|||吴九|||小|||中|||support@mi.com|||13900139000, +86 13900139001, +86 13800138001|||赵天宇
Greenland6|||巴黎|||高科技园300街|||郑十|||小|||高|||support@greenland.com|||+86 13800138001, 13900139000, +86 13900139001|||Michael Jordan
Ali6|||莫斯科|||高科技园300街|||郑十|||大|||中|||info@ali.com|||+86 13900139001, 13800138000, 13900139000|||Michael Jordan
Tencent7|||莫斯科|||经济开发区400路|||郑十|||小|||低|||contact@tencent.com|||13800138000|||Bruce Lee
Haier8|||首尔|||长安街200号|||李四|||中|||中|||support@haier.com|||13800138000, +86 13800138001|||赵天宇
Greenland7|||伦敦|||人民大道100号|||Jane Smith|||小|||低|||support@greenland.com|||13900139000|||Bruce Lee
Haier9|||北京|||人民大道100号|||李四|||小|||中|||contact@haier.com|||13800138000|||李小花
Ali7|||巴黎|||长安街200号|||吴九|||中|||低|||info@ali.com|||13900139000|||王小明
Haier10|||Tokyo|||经济开发区400路|||赵六|||小|||高|||support@haier.com|||13900139000, +86 13800138001|||李小花
Baidu5|||Tokyo|||高科技园300街|||李四|||小|||中|||support@baidu.com|||13800138000|||王小明
Haier11|||NewYork|||人民大道100号|||吴九|||小|||高|||contact@haier.com|||+86 13800138001|||王小明
Mi12|||伦敦|||高科技园300街|||张三|||大|||高|||contact@mi.com|||+86 13800138001|||张小强
Wangke11|||伦敦|||国际商务中心500广场|||周八|||大|||中|||info@wangke.com|||13900139000|||Michael Jordan
Tencent8|||NewYork|||经济开发区400路|||张三|||中|||中|||info@tencent.com|||+86 13800138001, 13900139000, 13800138000|||Bruce Lee
Huarunzhidi8|||莫斯科|||国际商务中心500广场|||赵六|||大|||中|||support@huarunzhidi.com|||+86 13900139001, +86 13800138001, 13900139000|||王
Wangke12|||首尔|||经济开发区400路|||Jane Smith|||大|||中|||contact@wangke.com|||13900139000, 13800138000|||赵天宇
Mi13|||伦敦|||经济开发区400路|||郑十|||大|||高|||info@mi.com|||+86 13800138001, 13800138000|||Michael Jordan
Mi14|||悉尼|||经济开发区400路|||赵六|||大|||高|||info@mi.com|||+86 13900139001|||Michael Jordan
Baidu6|||莫斯科|||长安街200号|||John Doe|||小|||低|||support@baidu.com|||13800138000, +86 13800138001, +86 13900139001|||赵天宇
Tencent9|||新加坡|||高科技园300街|||周八|||小|||高|||support@tencent.com|||13900139000|||李小花
Baidu7|||Tokyo|||经济开发区400路|||张三|||小|||高|||contact@baidu.com|||13900139000, +86 13900139001, +86 13800138001|||Bruce Lee
Lenovo8|||NewYork|||国际商务中心500广场|||张三|||大|||低|||info@lenovo.com|||13900139000, +86 13800138001, +86 13900139001|||李小花
Kyoto12|||巴黎|||经济开发区400路|||张三|||小|||中|||support@kyoto.com|||13900139000, +86 13800138001|||王小明
Wangke13|||新加坡|||国际商务中心500广场|||郑十|||中|||高|||contact@wangke.com|||+86 13800138001|||王小明
Ali8|||巴黎|||长安街200号|||吴九|||中|||高|||info@ali.com|||13800138000|||王小明
Huarunzhidi9|||北京|||人民大道100号|||李四|||大|||中|||info@huarunzhidi.com|||13800138000, +86 13800138001, 13900139000|||李小花
Baidu8|||首尔|||国际商务中心500广场|||孙七|||大|||低|||contact@baidu.com|||+86 13800138001|||李小花
Kyoto13|||Tokyo|||经济开发区400路|||王五|||大|||低|||info@kyoto.com|||+86 13900139001|||Michael Jordan
Huarunzhidi10|||首尔|||人民大道100号|||王五|||大|||中|||contact@huarunzhidi.com|||+86 13800138001, +86 13900139001|||张小强
Greenland8|||Shanghai|||国际商务中心500广场|||孙七|||大|||中|||support@greenland.com|||+86 13900139001, 13900139000|||Bruce Lee
Haier12|||NewYork|||国际商务中心500广场|||赵六|||小|||高|||support@haier.com|||13800138000|||张小强
Huarunzhidi11|||首尔|||国际商务中心500广场|||李四|||小|||高|||info@huarunzhidi.com|||13800138000|||Bruce Lee
Baidu9|||NewYork|||经济开发区400路|||Jane Smith|||小|||中|||support@baidu.com|||+86 13800138001|||Bruce Lee
Wangke14|||NewYork|||经济开发区400路|||Jane Smith|||大|||低|||support@wangke.com|||13800138000|||赵天宇
Baidu10|||伦敦|||高科技园300街|||吴九|||大|||低|||support@baidu.com|||13900139000, +86 13800138001, +86 13900139001|||Bruce Lee
Haier13|||Shanghai|||人民大道100号|||孙七|||中|||中|||contact@haier.com|||13900139000, +86 13800138001, +86 13900139001|||李小花
Tencent10|||伦敦|||高科技园300街|||赵六|||中|||低|||support@tencent.com|||+86 13800138001|||张小强
Haier14|||首尔|||高科技园300街|||郑十|||大|||中|||contact@haier.com|||13900139000|||张小强
Tencent11|||Tokyo|||长安街200号|||李四|||小|||高|||info@tencent.com|||+86 13900139001, +86 13800138001, 13900139000|||Bruce Lee
Lenovo9|||NewYork|||人民大道100号|||张三|||中|||高|||support@lenovo.com|||+86 13800138001, +86 13900139001, 13800138000|||李小花
Ali9|||Tokyo|||长安街200号|||吴九|||中|||中|||info@ali.com|||+86 13900139001, +86 13800138001, 13800138000|||张小强
Haier15|||北京|||经济开发区400路|||郑十|||大|||低|||support@haier.com|||13900139000, +86 13900139001|||王小明
Baidu11|||NewYork|||长安街200号|||李四|||中|||中|||contact@baidu.com|||+86 13800138001, +86 13900139001, 13900139000|||王小明
Greenland9|||伦敦|||人民大道100号|||王五|||大|||中|||contact@greenland.com|||+86 13800138001, +86 13900139001, 13800138000|||王小明
Greenland10|||伦敦|||国际商务中心500广场|||李四|||中|||低|||contact@greenland.com|||+86 13900139001|||Bruce Lee
Greenland11|||新加坡|||国际商务中心500广场|||周八|||中|||低|||info@greenland.com|||13800138000|||赵天宇
Haier16|||首尔|||长安街200号|||郑十|||小|||低|||support@haier.com|||+86 13800138001|||Bruce Lee
Baidu12|||首尔|||人民大道100号|||赵六|||大|||中|||info@baidu.com|||13800138000, 13900139000, +86 13800138001|||王小明
Mi15|||NewYork|||经济开发区400路|||Jane Smith|||中|||低|||support@mi.com|||+86 13900139001, 13800138000, +86 13800138001|||Michael
Mi16|||首尔|||长安街200号|||赵六|||小|||低|||info@mi.com|||+86 13900139001, 13900139000|||赵天宇
Kyoto14|||北京|||高科技园300街|||吴九|||中|||低|||support@kyoto.com|||13800138000, +86 13800138001, 13900139000|||张小强
Wangke15|||首尔|||长安街200号|||Jane Smith|||中|||中|||contact@wangke.com|||13800138000|||李小花
Wangke16|||首尔|||高科技园300街|||张三|||中|||中|||contact@wangke.com|||13800138000, +86 13800138001|||Bruce Lee
Greenland12|||Shanghai|||国际商务中心500广场|||张三|||大|||中|||support@greenland.com|||13900139000|||李小花
Greenland13|||新加坡|||高科技园300街|||赵六|||小|||高|||info@greenland.com|||13800138000, +86 13800138001, 13900139000|||Michael Jordan
Tencent12|||NewYork|||高科技园300街|||张三|||大|||中|||support@tencent.com|||+86 13800138001, +86 13900139001|||赵天宇
Baidu13|||新加坡|||人民大道100号|||John Doe|||小|||高|||contact@baidu.com|||+86 13900139001, 13800138000|||李小花
Tencent13|||NewYork|||人民大道100号|||周八|||小|||中|||info@tencent.com|||+86 13800138001|||Bruce Lee
Ali10|||Shanghai|||高科技园300街|||周八|||中|||高|||contact@ali.com|||+86 13900139001, 13800138000|||Michael Jordan
Wangke17|||莫斯科|||经济开发区400路|||赵六|||大|||高|||support@wangke.com|||+86 13900139001, +86 13800138001|||李小花
Lenovo10|||新加坡|||国际商务中心500广场|||John Doe|||中|||中|||contact@lenovo.com|||+86 13800138001|||Michael Jordan
Lenovo11|||新加坡|||经济开发区400路|||Jane Smith|||大|||低|||support@lenovo.com|||+86 13900139001, 13900139000, 13800138000|||Bruce Lee
Wangke18|||莫斯科|||长安街200号|||吴九|||大|||高|||contact@wangke.com|||+86 13900139001|||张小强
Huarunzhidi12|||NewYork|||经济开发区400路|||Jane Smith|||中|||高|||support@huarunzhidi.com|||13800138000|||赵天宇
Huarunzhidi13|||巴黎|||经济开发区400路|||张三|||小|||低|||info@huarunzhidi.com|||+86 13900139001|||王小明
Tencent14|||Shanghai|||经济开发区400路|||郑十|||大|||低|||support@tencent.com|||+86 13800138001|||张小强
Lenovo12|||巴黎|||经济开发区400路|||王五|||大|||低|||support@lenovo.com|||13800138000|||Michael Jordan
Baidu14|||Shanghai|||经济开发区400路|||John Doe|||中|||中|||contact@baidu.com|||+86 13900139001, 13800138000|||Michael Jordan
Haier17|||Shanghai|||长安街200号|||张三|||中|||低|||contact@haier.com|||+86 13900139001, 13800138000|||李小花
Mi17|||悉尼|||长安街200号|||郑十|||大|||低|||contact@mi.com|||+86 13900139001, 13800138000|||Bruce Lee
Ali11|||Tokyo|||长安街200号|||吴九|||中|||中|||support@ali.com|||13800138000|||Michael Jordan
Lenovo13|||伦敦|||国际商务中心500广场|||郑十|||中|||高|||info@lenovo.com|||+86 13900139001, 13900139000|||Bruce Lee
Kyoto15|||Tokyo|||人民大道100号|||周八|||大|||高|||contact@kyoto.com|||13800138000, 13900139000, +86 13800138001|||张小强
Greenland14|||首尔|||高科技园300街|||周八|||大|||低|||support@greenland.com|||+86 13900139001, 13800138000|||Bruce Lee
Tencent15|||莫斯科|||高科技园300街|||Jane Smith|||大|||低|||support@tencent.com|||13900139000, 13800138000|||Michael Jordan
Huarunzhidi14|||新加坡|||人民大道100号|||周八|||小|||高|||contact@huarunzhidi.com|||13800138000, +86 13900139001, 13900139000|||Michael Jorda
Lenovo14|||北京|||国际商务中心500广场|||Jane Smith|||大|||高|||contact@lenovo.com|||13900139000, 13800138000, +86 13800138001|||Michael
Lenovo15|||NewYork|||经济开发区400路|||周八|||中|||中|||info@lenovo.com|||13800138000, 13900139000, +86 13900139001|||李小花
Baidu15|||NewYork|||经济开发区400路|||吴九|||小|||低|||support@baidu.com|||13900139000, +86 13900139001, +86 13800138001|||Bruce Lee
Ali12|||巴黎|||经济开发区400路|||Jane Smith|||小|||高|||contact@ali.com|||+86 13800138001, 13900139000, 13800138000|||赵天宇
Ali13|||巴黎|||经济开发区400路|||李四|||小|||中|||contact@ali.com|||13900139000|||Michael Jordan
Haier18|||Tokyo|||高科技园300街|||张三|||大|||高|||contact@haier.com|||13900139000, +86 13900139001|||王小明
Ali14|||NewYork|||人民大道100号|||John Doe|||中|||中|||support@ali.com|||+86 13900139001, 13800138000|||Michael Jordan
Huarunzhidi15|||新加坡|||人民大道100号|||John Doe|||小|||高|||contact@huarunzhidi.com|||+86 13900139001|||王小明
Tencent16|||悉尼|||高科技园300街|||李四|||小|||高|||info@tencent.com|||13900139000|||赵天宇
Lenovo16|||Tokyo|||高科技园300街|||吴九|||中|||高|||support@lenovo.com|||13800138000, 13900139000|||张小强
Tencent17|||悉尼|||长安街200号|||王五|||小|||高|||info@tencent.com|||+86 13800138001|||Michael Jordan
Lenovo17|||莫斯科|||国际商务中心500广场|||John Doe|||小|||低|||contact@lenovo.com|||+86 13800138001|||Bruce Lee
Greenland15|||Tokyo|||人民大道100号|||John Doe|||小|||低|||contact@greenland.com|||13900139000, +86 13800138001|||张小强
Ali15|||新加坡|||经济开发区400路|||Jane Smith|||大|||高|||support@ali.com|||+86 13800138001|||赵天宇
Wangke19|||NewYork|||高科技园300街|||周八|||大|||低|||support@wangke.com|||+86 13900139001, +86 13800138001, 13800138000|||王小明
Haier19|||伦敦|||高科技园300街|||孙七|||小|||低|||info@haier.com|||13900139000|||李小花
Baidu16|||首尔|||长安街200号|||孙七|||大|||中|||info@baidu.com|||+86 13900139001|||张小强
Huarunzhidi16|||莫斯科|||国际商务中心500广场|||Jane Smith|||小|||中|||contact@huarunzhidi.com|||13800138000, 13900139000, +86 13900139001|||B
Mi18|||悉尼|||国际商务中心500广场|||王五|||中|||中|||contact@mi.com|||+86 13900139001, 13900139000, +86 13800138001|||Michael J
Kyoto16|||NewYork|||人民大道100号|||Jane Smith|||小|||高|||contact@kyoto.com|||13900139000, +86 13800138001|||张小强
Tencent18|||伦敦|||长安街200号|||吴九|||大|||低|||support@tencent.com|||13800138000|||张小强
Ali16|||新加坡|||经济开发区400路|||John Doe|||中|||低|||contact@ali.com|||+86 13900139001|||Michael Jordan
Greenland16|||北京|||人民大道100号|||郑十|||中|||中|||support@greenland.com|||+86 13900139001, 13800138000, +86 13800138001|||张小强
Baidu17|||巴黎|||经济开发区400路|||郑十|||小|||中|||support@baidu.com|||13800138000, 13900139000|||Michael Jordan
Tencent19|||新加坡|||高科技园300街|||王五|||中|||中|||info@tencent.com|||13800138000|||Michael Jordan
Ali17|||Shanghai|||人民大道100号|||郑十|||中|||中|||contact@ali.com|||+86 13900139001, 13900139000|||Bruce Lee
Ali18|||NewYork|||长安街200号|||王五|||中|||高|||contact@ali.com|||13900139000, +86 13800138001, +86 13900139001|||王小明
Kyoto17|||巴黎|||人民大道100号|||孙七|||小|||中|||support@kyoto.com|||13900139000, +86 13900139001, +86 13800138001|||王小明
Lenovo18|||莫斯科|||经济开发区400路|||孙七|||大|||高|||info@lenovo.com|||13800138000, 13900139000|||张小强
Huarunzhidi17|||新加坡|||人民大道100号|||赵六|||中|||中|||support@huarunzhidi.com|||13800138000|||Michael Jordan
Greenland17|||新加坡|||高科技园300街|||李四|||大|||中|||info@greenland.com|||+86 13800138001, 13800138000|||赵天宇
Baidu18|||巴黎|||国际商务中心500广场|||张三|||大|||低|||support@baidu.com|||+86 13900139001, +86 13800138001|||Michael Jordan
Greenland18|||Tokyo|||长安街200号|||Jane Smith|||中|||高|||info@greenland.com|||+86 13900139001, 13900139000, 13800138000|||张小强
Kyoto18|||莫斯科|||长安街200号|||赵六|||中|||高|||info@kyoto.com|||13900139000, +86 13900139001, +86 13800138001|||张小强
Ali19|||Tokyo|||国际商务中心500广场|||张三|||小|||中|||contact@ali.com|||13900139000, +86 13900139001, +86 13800138001|||Micha
Lenovo19|||北京|||人民大道100号|||吴九|||中|||高|||contact@lenovo.com|||+86 13800138001, 13900139000, 13800138000|||王小明
Greenland19|||新加坡|||人民大道100号|||李四|||小|||高|||support@greenland.com|||+86 13900139001|||Bruce Lee
Baidu19|||NewYork|||高科技园300街|||王五|||大|||高|||info@baidu.com|||13900139000, 13800138000|||赵天宇
Kyoto19|||悉尼|||国际商务中心500广场|||郑十|||中|||低|||info@kyoto.com|||13800138000|||李小花
Huarunzhidi18|||首尔|||经济开发区400路|||赵六|||大|||低|||contact@huarunzhidi.com|||+86 13900139001, 13800138000|||王小明
Mi19|||NewYork|||高科技园300街|||Jane Smith|||大|||中|||contact@mi.com|||+86 13900139001, 13800138000|||张小强
Huarunzhidi19|||新加坡|||高科技园300街|||John Doe|||中|||高|||contact@huarunzhidi.com|||13900139000, 13800138000|||李小花
某大个公司|||新加坡|||人民大道100号|||吴九|||中|||高|||contact@wangke.com|||13800138000|||Michael Jordan
